stud.id,name,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
375863,"Andrade, Mea",Female,22,159,62.6,Other,2.87,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
824178,"Baros, Brandi",Female,26,160,68.7,Other,1.95,2nd,Social Sciences,Biology,NA,NA,0,0,NA
968176,"Martinez, Kevin",Male,21,181,78.7,Catholic,3.02,4th,Mathematics and Statistics,Biology,80,89,1,0,NA
901241,"Labishak, Martin",Male,19,164,66.4,Orthodox,1.18,3rd,Economics and Finance,Political Science,71,64,0,0,NA
195151,"Cradle, Stephanie",Female,23,170,68.8,Orthodox,2.01,3rd,Biology,Environmental Sciences,85,87,1,0,NA
813853,"Lawton, Jacob",Male,36,192,87.7,Orthodox,2.17,5th,Biology,Political Science,72,82,1,1,54410.43923
186782,"Crawford, Hannah",Female,24,152,61.4,Catholic,3.04,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
652714,"Montoya-Gonsalez, Rosa",Female,22,169,67.3,Other,3.09,3rd,Biology,Environmental Sciences,82,76,1,0,NA
297472,"Wong, Joseph",Male,23,174,74.2,Catholic,1.32,3rd,Environmental Sciences,Mathematics and Statistics,70,73,0,0,NA
304740,"Cisneros, Liana",Female,24,158,63.8,Protestant,1.8,3rd,Economics and Finance,Social Sciences,62,64,1,0,NA
946346,"Nguyen, Matteo",Male,20,169,67.8,Other,1.53,6th,Biology,Economics and Finance,76,70,0,1,46897.26797
868067,"Barnes, Marriah",Female,22,167,68.3,Other,2.31,5th,Political Science,Biology,51,56,0,0,NA
231747,"Martinez, Jasmine",Female,18,165,68,Protestant,1.69,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
352218,"Ravenell, Angela",Female,19,170,70.5,Protestant,2.72,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
546796,"Garcia, Kalynne",Female,47,167,67.4,Catholic,1.46,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
598622,"Yohe-Ironwing, Michael",Male,24,181,80.1,Protestant,1.37,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
584261,"Giron, Jessica",Female,22,167,65.1,Catholic,1.94,3rd,Economics and Finance,Political Science,66,65,1,0,NA
924207,"Jefferson, William",Male,22,174,73.8,Other,1.76,3rd,Economics and Finance,Political Science,64,66,0,0,NA
236413,"Morton, Kourtney",Female,23,162,64.5,Catholic,3.51,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
865700,"Gabriel, Marie",Female,26,164,69.6,Catholic,2.3,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
617524,"Adams, Kathryn",Female,19,159,60.8,Other,1.67,4th,Political Science,Environmental Sciences,49,61,1,0,NA
163772,"Ray, Sade",Female,23,163,65.4,Protestant,1.9,4th,Environmental Sciences,Economics and Finance,76,67,0,1,28235.06109
496356,"Gonzales, Raquel",Female,24,164,65.6,Catholic,2.41,3rd,Political Science,Biology,58,53,0,0,NA
153149,"Mcbride, Thien",Male,21,169,70.6,Other,3.26,5th,Biology,Social Sciences,72,75,0,1,53242.38134
583966,"Nguyen, James",Male,22,184,82.6,Catholic,2.8,4th,Environmental Sciences,Economics and Finance,70,75,1,0,NA
613077,"Thompson, Brandy",Female,20,172,75.6,Protestant,1.18,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
329167,"Sharp, Brendon",Male,50,169,72.8,Other,1.41,5th,Economics and Finance,Social Sciences,66,69,1,0,NA
421803,"Mason, Kualii",Male,22,185,83.2,Other,2.4,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
498468,"Elazier, Abigail",Female,22,171,66.9,Catholic,1.95,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
905586,"Smith, Tyler",Male,21,160,65.8,Orthodox,1.65,5th,Economics and Finance,Environmental Sciences,64,66,0,1,47417.82869
559035,"Suggs, Brent",Male,19,174,75.6,Protestant,1.83,6th,Mathematics and Statistics,Social Sciences,87,94,1,1,50317.87484
692278,"Anderson, Andre",Male,20,168,68.3,Catholic,1.31,4th,Political Science,Environmental Sciences,49,61,1,0,NA
234067,"Smith, Rebecca",Female,20,167,68.5,Other,2.7,3rd,Mathematics and Statistics,Biology,92,85,1,0,NA
211707,"Flores Xochitla, Samoun",Female,22,162,67.2,Muslim,1.59,>6th,Biology,Mathematics and Statistics,74,76,1,1,40859.55946
551999,"Olona, Emily",Female,21,157,64.8,Orthodox,2.81,1st,Biology,Economics and Finance,NA,NA,0,0,NA
661029,"Sihavong, Joline",Male,19,185,82.7,Orthodox,1.75,3rd,Environmental Sciences,Mathematics and Statistics,68,73,1,0,NA
227201,"Lee, Jaylen",Male,23,179,75,Catholic,2.87,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
737759,"Casias, Brenda",Female,21,160,66.5,Protestant,2.44,2nd,Biology,Environmental Sciences,NA,NA,0,0,NA
216661,"Comcowich, Janet",Female,22,171,69.9,Catholic,2.15,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
583832,"Vasquez, David",Male,19,184,82.1,Catholic,1.05,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
255335,"Martinez, Maudgenique",Female,22,161,64.6,Catholic,1.61,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
682388,"Smith, Shelby",Female,22,161,69,Protestant,1.75,3rd,Biology,Social Sciences,79,74,1,0,NA
531327,"Cotonuts, Matthew",Male,20,174,73.3,Catholic,1.36,5th,Economics and Finance,Environmental Sciences,71,68,1,1,46884.99053
202610,"Bennett, Jina",Female,23,152,61.5,Catholic,3.58,4th,Social Sciences,Environmental Sciences,49,42,1,0,NA
604937,"Thomas, Trae",Male,21,180,78.9,Other,3.01,5th,Political Science,Social Sciences,53,47,1,1,35945.22833
705138,"Christopherson, Gabriel",Male,24,190,88.6,Catholic,3.04,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
200631,"Velasquez, Valerie",Female,21,157,63.8,Other,1.79,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
791913,"Rosales, Jazmine",Female,20,160,63.5,Other,1.45,5th,Biology,Mathematics and Statistics,81,77,1,1,40064.43476
347250,"Battulga, Walter",Male,20,186,80.3,Protestant,1.81,5th,Political Science,Environmental Sciences,53,57,1,0,NA
788263,"Hertz, Daniel",Male,19,163,67.3,Protestant,3.07,3rd,Biology,Political Science,73,86,1,0,NA
814407,"Trujillo, Jocilynn",Female,19,160,65.9,Catholic,1.6,3rd,Environmental Sciences,Political Science,73,72,0,0,NA
110615,"Hoyte, Shara",Female,25,148,57.5,Other,2.61,6th,Social Sciences,Environmental Sciences,45,40,1,0,NA
309747,"Rollins, Domonique",Female,22,164,65.1,Orthodox,1.6,2nd,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
303136,"Navarro, Shamari",Female,45,160,63.5,Catholic,2.63,4th,Biology,Mathematics and Statistics,78,82,1,1,52691.50434
263444,"Curiel, Monee",Female,22,166,67.7,Orthodox,2.52,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
566262,"Swanson, Jamie",Female,22,184,82.7,Orthodox,1.68,6th,Economics and Finance,Biology,61,72,0,1,44368.51359
355357,"Cornejo, Jessica",Female,22,162,65.4,Orthodox,1.03,3rd,Biology,Economics and Finance,75,75,0,0,NA
332055,"Romero, Zoe",Female,31,152,65.3,Catholic,3.5,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
589783,"Castro, Cindy",Female,21,167,65,Catholic,2.96,3rd,Environmental Sciences,Biology,69,77,1,0,NA
267569,"Murphy, Andrew",Male,20,188,83.5,Catholic,1.19,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
399182,"Mccann, Lindsay",Female,20,171,71.9,Other,2.58,1st,Political Science,Social Sciences,NA,NA,0,0,NA
406981,"Freeman, Pao",Male,20,176,72.8,Protestant,1.95,1st,Mathematics and Statistics,Biology,NA,NA,0,0,NA
685552,"Irving, Michaela",Female,19,167,73.1,Other,1.03,5th,Environmental Sciences,Political Science,65,70,0,1,38400.05111
608386,"Ledru, Rick",Male,21,192,93.4,Catholic,1.27,1st,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
541606,"Duley, Jake",Male,22,175,74.1,Catholic,1.81,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
500052,"Wi, Lucas",Male,22,177,74,Catholic,1.12,3rd,Social Sciences,Biology,43,42,0,0,NA
290003,"Caballero, Tyler",Male,22,181,74.7,Catholic,2.7,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
802126,"Cherry, Yousif",Male,21,173,71.8,Other,1.05,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
986718,"Veltri, Colleen",Female,19,159,64.8,Catholic,2.56,1st,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
429038,"Leon, Jaszymn",Female,21,156,64.7,Orthodox,1.22,1st,Biology,Political Science,NA,NA,0,0,NA
889652,"Trambulo, Daud",Male,22,144,60.9,Other,1.31,4th,Biology,Mathematics and Statistics,77,82,1,0,NA
965922,"Vue, Richard",Male,24,183,82.8,Orthodox,1.13,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
859468,"Kleinman, Catherine",Female,19,149,62.6,Other,2.01,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
606531,"Fernandez, Amelia",Female,52,161,64.2,Other,2.39,4th,Political Science,Mathematics and Statistics,49,58,0,1,20690.64749
773254,"Senthilvel, Richard",Male,22,168,70.7,Orthodox,2.14,1st,Environmental Sciences,Biology,NA,NA,0,0,NA
555871,"Yazzie, Timothy",Male,22,180,79,Other,1.28,4th,Political Science,Social Sciences,60,53,0,1,44242.27158
214356,"Rice, Lashawn",Male,19,176,74.3,Catholic,2.6,4th,Mathematics and Statistics,Biology,89,95,1,0,NA
281172,"Hopper, Brenden",Male,22,181,82.1,Protestant,1.25,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
641111,"Erickson, Sabrina",Female,22,175,77,Catholic,2.38,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
276507,"Hemlock, Lee",Male,20,188,84.2,Other,1.04,3rd,Social Sciences,Mathematics and Statistics,58,48,0,0,NA
177373,"Dreher, Darian",Female,19,152,59.6,Protestant,1.21,3rd,Mathematics and Statistics,Social Sciences,91,89,0,0,NA
395800,"Whyte, Robert",Male,22,177,72.4,Catholic,2.34,6th,Economics and Finance,Environmental Sciences,63,70,1,0,NA
673553,"Kiyota, Chamos",Male,20,174,70.6,Catholic,2.45,>6th,Political Science,Social Sciences,57,60,1,1,46155.08952
729418,"Harvey, Yuri",Female,21,173,71.6,Muslim,3.08,3rd,Biology,Political Science,74,80,1,0,NA
133898,"Terrazas Balcorta, Yesenia",Female,22,158,64.6,Catholic,1.63,4th,Biology,Social Sciences,73,74,1,0,NA
341302,"Fernandez, Rhianna",Female,23,167,73.7,Catholic,1.75,2nd,Environmental Sciences,Biology,NA,NA,0,0,NA
377850,"Nguyen, Warner",Male,28,182,82.8,Other,2.62,3rd,Economics and Finance,Political Science,66,66,0,0,NA
926398,"Tall Bull, Marcus",Male,21,175,75.7,Protestant,2.27,>6th,Social Sciences,Economics and Finance,47,44,0,1,39931.42447
913717,"Proctor, Abigail",Female,22,166,66.5,Catholic,3.49,4th,Environmental Sciences,Social Sciences,76,67,0,0,NA
616552,"Culhane, Jeremiah",Male,24,179,75,Other,2.34,4th,Political Science,Environmental Sciences,68,59,0,0,NA
426150,"Eisele, Ajai",Female,23,169,68,Other,1.21,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
576258,"Mccreary, Ryan",Male,21,185,82.3,Catholic,1.75,1st,Environmental Sciences,Biology,NA,NA,0,0,NA
948562,"Cabral, Anthony",Male,21,174,76.1,Catholic,1.02,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
759497,"Yamaguchi, Juan",Male,22,179,79.1,Protestant,2.81,5th,Economics and Finance,Political Science,67,68,1,1,62887.0343
233887,"Martos, Tierra",Female,22,162,58.6,Catholic,1.83,3rd,Environmental Sciences,Mathematics and Statistics,65,76,1,0,NA
281601,"Park, Davanti",Male,20,173,76,Other,1.23,2nd,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
336410,"Forney, Jacob",Male,22,176,76,Catholic,1.47,4th,Environmental Sciences,Political Science,67,70,0,1,45274.22673
733568,"Hughes, Araseli",Female,18,167,71.4,Other,1.81,4th,Social Sciences,Political Science,46,44,1,0,NA
801782,"Boulier, Karandeep",Male,24,179,79.1,Catholic,1.52,5th,Mathematics and Statistics,Biology,85,86,1,0,NA
173492,"Stewart, Lee",Female,21,172,72.1,Other,2.89,4th,Social Sciences,Environmental Sciences,47,40,1,0,NA
710052,"Chapman, Cindy",Female,21,165,69.8,Catholic,1.17,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
325463,"Tamblyn, Justin",Male,21,171,71.5,Other,3.51,1st,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
243384,"Hu, Daniel",Male,19,166,68.1,Other,3.2,3rd,Social Sciences,Political Science,37,47,1,0,NA
362102,"Sandoval, Ciarra",Female,21,160,67.4,Protestant,2.07,1st,Political Science,Economics and Finance,NA,NA,0,0,NA
886844,"Piechowski, Dominique",Male,21,181,80.4,Other,1.01,4th,Mathematics and Statistics,Biology,94,90,0,1,38292.14116
328882,"Guerue, Cody",Male,21,178,75.7,Other,1.43,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
849662,"Johnson, Danielle",Female,23,151,60.7,Catholic,1.93,5th,Political Science,Economics and Finance,61,51,1,0,NA
579638,"Mathiang, Justin",Male,21,166,68.4,Other,2.06,1st,Biology,Economics and Finance,NA,NA,0,0,NA
302978,"Rios, Megan",Female,21,169,66.8,Catholic,1.49,4th,Biology,Mathematics and Statistics,81,86,1,0,NA
764571,"Yellowhawk, Ezequiel",Male,22,180,75.6,Protestant,1.24,6th,Economics and Finance,Biology,63,67,1,1,69348.60687
555354,"Akquia, Daniel",Male,23,184,78.7,Other,2.23,5th,Mathematics and Statistics,Social Sciences,87,87,0,0,NA
893072,"Peters, Sonia",Female,21,158,62.9,Protestant,2.4,4th,Political Science,Biology,50,55,1,1,34055.2891
353524,"Bruce, Benjamin",Male,22,173,72.3,Protestant,1.34,3rd,Environmental Sciences,Political Science,70,73,1,0,NA
321581,"Sigala, Nekka",Female,18,172,74.4,Catholic,3.18,4th,Political Science,Biology,57,60,1,1,32943.40901
755959,"Schmalz, Matthew",Male,20,188,85.6,Orthodox,1.18,5th,Environmental Sciences,Economics and Finance,73,77,1,0,NA
251073,"Pierson, Kawaileolani",Female,21,176,73,Catholic,1.41,4th,Economics and Finance,Mathematics and Statistics,73,65,1,0,NA
169014,"Starcer, Ji",Male,20,183,82.1,Protestant,3.55,6th,Environmental Sciences,Social Sciences,78,76,1,1,41598.14986
750285,"Ling Chen, Dawit",Male,21,163,67.5,Catholic,1.63,6th,Economics and Finance,Mathematics and Statistics,68,67,0,0,NA
212115,"Molina, Jarleeya",Female,22,163,68.4,Catholic,3.36,6th,Environmental Sciences,Political Science,68,66,1,1,26604.10957
343909,"Do, Ramon",Male,20,184,81.3,Protestant,2.81,4th,Environmental Sciences,Political Science,64,73,1,0,NA
145771,"Cardozo, Bree'Onna",Female,22,173,72.4,Other,2.1,4th,Economics and Finance,Mathematics and Statistics,60,67,1,0,NA
872739,"Gallegos, Nicholas",Male,20,178,74,Catholic,2.27,4th,Political Science,Environmental Sciences,61,53,0,0,NA
657486,"Vullo, Cierra",Female,20,160,67.7,Catholic,1.04,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
165977,"Patrick, Stephanie",Female,23,168,69.3,Catholic,1.26,1st,Environmental Sciences,Biology,NA,NA,0,0,NA
127324,"Trujillo, Natae",Female,21,168,71.7,Other,1.18,5th,Social Sciences,Political Science,43,38,0,1,28058.50724
353705,"Davis, Tazz",Male,22,173,71.6,Catholic,1.62,4th,Economics and Finance,Social Sciences,67,62,1,0,NA
196225,"Tivis, Jenny",Female,22,167,76.1,Other,2.24,2nd,Social Sciences,Political Science,NA,NA,0,0,NA
609561,"Bower, Colton",Male,22,185,83.4,Protestant,1.68,1st,Social Sciences,Political Science,NA,NA,0,0,NA
162570,"Peters-Maloy, Jayda",Female,20,166,65.2,Other,3.82,2nd,Biology,Environmental Sciences,NA,NA,0,0,NA
123756,"Temeyosa, Cristal",Female,25,168,69,Other,2.86,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
901238,"Mosley, Patricia",Female,29,165,65.8,Catholic,1.04,6th,Biology,Political Science,83,80,1,1,36274.87806
152711,"Blackmore, Jason",Male,22,169,74.8,Catholic,2.4,4th,Economics and Finance,Mathematics and Statistics,67,66,0,0,NA
256635,"Kusi-Mensah, Taylor",Female,23,168,75.1,Catholic,1.21,1st,Environmental Sciences,Biology,NA,NA,0,0,NA
218145,"Dang, Alexander",Male,42,175,72.1,Other,1.14,2nd,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
661707,"Longoria, Jazzmine",Female,62,142,60.5,Protestant,2.89,4th,Mathematics and Statistics,Environmental Sciences,87,90,1,0,NA
386370,"Dacuma, Lyzander",Male,58,177,76.9,Catholic,1.85,3rd,Environmental Sciences,Social Sciences,68,74,0,0,NA
169625,"Valdez, Mia",Female,20,164,63.5,Other,3.07,2nd,Social Sciences,Political Science,NA,NA,0,0,NA
933244,"Begay, Michael",Male,39,177,74.7,Catholic,1.35,1st,Biology,Economics and Finance,NA,NA,0,0,NA
191101,"Huguley, Shea",Female,20,168,63,Catholic,2.41,3rd,Biology,Economics and Finance,72,80,1,0,NA
955698,"Bullock, Joseph",Male,22,193,93,Catholic,1.02,2nd,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
345538,"Garcia, Richard",Male,20,194,90.6,Other,3.19,4th,Social Sciences,Political Science,43,38,0,0,NA
861505,"Todd, Angela",Female,23,167,69.4,Catholic,1.69,4th,Biology,Social Sciences,80,84,1,0,NA
721075,"Morales, Karen",Female,24,156,62.1,Other,1.58,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
799697,"Ortiz, Alvin",Male,21,179,85.2,Other,1.56,1st,Social Sciences,Political Science,NA,NA,0,0,NA
902110,"Bowman, Mathew",Male,23,180,75.7,Protestant,2.35,>6th,Environmental Sciences,Economics and Finance,74,74,1,1,39299.62456
756045,"Ross, Jackson",Male,21,180,80.6,Other,2.79,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
506025,"Valladares-Ballardo, Teasia",Female,18,164,63.8,Catholic,2.13,1st,Social Sciences,Economics and Finance,NA,NA,0,0,NA
211697,"Khan, Devin",Male,21,183,82.1,Orthodox,3.31,4th,Political Science,Social Sciences,60,51,1,0,NA
339063,"Terry, Armando",Male,19,185,81.3,Protestant,2.52,4th,Mathematics and Statistics,Economics and Finance,84,79,0,0,NA
412098,"Wilson, Renee",Female,28,163,65.9,Catholic,1.83,1st,Mathematics and Statistics,Biology,NA,NA,0,0,NA
630039,"Williams, Rachel",Female,19,160,62.8,Other,1.97,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
791079,"Chee, Benjamin",Male,20,167,66.7,Protestant,3.42,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
492770,"Montoya, Abriana",Female,32,164,71.2,Other,2.05,6th,Biology,Environmental Sciences,78,74,0,0,NA
909425,"Fletchall, Brenda",Female,23,179,78.3,Protestant,2.34,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
527029,"Jeffries, Lien",Female,34,175,71.3,Catholic,3.07,4th,Economics and Finance,Mathematics and Statistics,67,77,1,1,43000.507
285617,"Ware, Tori",Female,20,164,63.5,Catholic,2.24,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
296081,"Trujillo, Catherine",Female,19,154,62.2,Catholic,2.66,1st,Biology,Economics and Finance,NA,NA,0,0,NA
745366,"Sandoval, Nakiera",Female,24,159,62.6,Other,1.18,4th,Political Science,Environmental Sciences,50,51,1,0,NA
761067,"Duong, Matthew",Male,21,179,73.9,Catholic,2.59,6th,Mathematics and Statistics,Economics and Finance,85,89,1,1,57332.58523
685660,"Prasad, Steven",Male,21,176,74.3,Other,2.6,4th,Biology,Environmental Sciences,77,80,0,0,NA
713561,"Stevens, Jason",Male,21,189,85.8,Catholic,2.56,2nd,Economics and Finance,Mathematics and Statistics,NA,NA,0,0,NA
122777,"Maldonado, Victoria",Female,20,166,66.1,Orthodox,1.25,1st,Biology,Economics and Finance,NA,NA,0,0,NA
460855,"Martinez, Taylor",Female,21,159,66,Other,2.51,6th,Environmental Sciences,Economics and Finance,71,70,1,1,29401.35898
122813,"Peacock, Celia",Female,22,159,64.2,Muslim,1.53,2nd,Biology,Political Science,NA,NA,0,0,NA
918397,"Woodson, Levi",Male,20,180,77.7,Orthodox,1.35,5th,Political Science,Mathematics and Statistics,58,52,1,0,NA
110348,"Martin, Inah Carmela",Female,22,176,73.6,Catholic,1.01,3rd,Political Science,Biology,59,60,1,0,NA
758311,"Padilla-Vialpando, Ashley",Female,20,156,60.4,Catholic,1.38,4th,Environmental Sciences,Social Sciences,78,68,0,0,NA
433512,"Wood, Angel",Male,22,156,61.6,Other,2,3rd,Mathematics and Statistics,Economics and Finance,93,88,0,0,NA
224371,"Rodriguez, Hope",Female,19,170,72.8,Catholic,3.7,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
350085,"Kelleher, Lejanique",Female,18,160,65.9,Other,3.03,6th,Political Science,Biology,59,52,0,1,31266.91863
305541,"Kim, Orlando",Male,20,178,84.6,Catholic,1.35,6th,Biology,Mathematics and Statistics,70,80,1,0,NA
813597,"Freyta, Bianca",Female,20,170,73.9,Other,1.95,1st,Social Sciences,Biology,NA,NA,0,0,NA
480495,"Rodrigues, Samuel",Male,20,184,88.3,Catholic,3.88,4th,Economics and Finance,Environmental Sciences,68,59,0,1,44605.60052
249763,"De La Cerda, Taylor",Female,21,159,62.5,Protestant,1.25,4th,Environmental Sciences,Biology,73,66,1,1,27016.8521
872896,"Mcneal, Kelsey",Female,22,161,64.8,Other,2.79,4th,Political Science,Environmental Sciences,62,58,1,0,NA
778702,"Castro, Mijoly",Female,20,154,59.8,Other,1.92,4th,Biology,Political Science,75,73,0,0,NA
962863,"Brauher, Christorpher",Male,21,193,94.1,Catholic,3.06,5th,Social Sciences,Political Science,42,35,0,1,39124.14494
845714,"Olivas, Alyssa",Female,21,159,62.1,Other,2.32,2nd,Biology,Political Science,NA,NA,0,0,NA
673531,"Crask, Shania",Female,20,161,66.3,Catholic,2.32,1st,Economics and Finance,Mathematics and Statistics,NA,NA,0,0,NA
666323,"Borgen, Micaela",Female,22,176,73.1,Other,3.78,3rd,Mathematics and Statistics,Political Science,88,83,0,0,NA
340284,"Abeyta, Anna",Female,21,181,78.8,Protestant,1.03,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
333112,"Harris, Megha",Female,21,162,66.9,Other,2.58,1st,Political Science,Economics and Finance,NA,NA,0,0,NA
548995,"Quintana, Danielle",Female,21,149,60.1,Protestant,1.14,1st,Biology,Mathematics and Statistics,NA,NA,0,0,NA
130484,"Montano, Aundrea",Female,21,169,70,Other,1.11,1st,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
617513,"Kassahun, Kailen",Female,22,174,72.4,Protestant,2.47,3rd,Environmental Sciences,Mathematics and Statistics,78,71,0,0,NA
652907,"Long, Lisa",Female,19,182,80.3,Catholic,1.3,5th,Social Sciences,Environmental Sciences,47,50,1,1,31936.89969
274409,"Trujillo, Monica",Female,21,142,57.9,Catholic,1.42,4th,Political Science,Environmental Sciences,51,50,0,0,NA
839373,"Lee, Tobias",Male,19,194,94.1,Catholic,2.1,1st,Biology,Mathematics and Statistics,NA,NA,0,0,NA
815295,"Liles, Man",Male,19,164,66.1,Catholic,1.42,1st,Mathematics and Statistics,Biology,NA,NA,0,0,NA
379904,"Taing, Brendan",Male,23,184,84.6,Protestant,2.34,6th,Economics and Finance,Biology,65,71,1,0,NA
774589,"Pascual, Vianey",Female,24,165,61.6,Protestant,3.65,1st,Political Science,Biology,NA,NA,0,0,NA
746253,"Nava, Everett",Male,21,176,73.7,Catholic,1.9,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
818710,"Hobbs, Kyleigh",Female,26,174,70.6,Other,1.32,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
814294,"Fifita, Amilkar",Male,22,192,95.3,Other,2.38,5th,Economics and Finance,Mathematics and Statistics,65,64,1,0,NA
584923,"Sandoval Nava, Gabriela",Female,53,147,59.1,Other,1.41,4th,Political Science,Mathematics and Statistics,61,51,0,0,NA
241082,"Ignacio, Jakob",Male,22,174,72.4,Other,2.01,3rd,Environmental Sciences,Mathematics and Statistics,72,74,1,0,NA
696729,"Ellett, Aaron",Male,20,177,77.1,Catholic,3.08,6th,Environmental Sciences,Political Science,79,73,1,0,NA
466653,"Givens, Amy",Female,21,162,67.3,Other,2.92,1st,Biology,Political Science,NA,NA,0,0,NA
378815,"Hall, Wambli",Male,22,178,76.5,Muslim,1.82,5th,Economics and Finance,Environmental Sciences,73,72,0,0,NA
323097,"Ellison, Danica",Female,20,167,64.8,Protestant,1.15,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
388381,"Green, Tae",Male,20,168,67.5,Catholic,3.36,3rd,Environmental Sciences,Mathematics and Statistics,76,74,1,0,NA
777464,"Ruiz, Alyssa",Female,20,163,65.9,Other,2.27,2nd,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
822884,"Takata, Riley",Male,43,180,78.7,Catholic,2.42,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
909703,"Manahan, Richard",Male,21,178,76.9,Other,2.56,4th,Environmental Sciences,Mathematics and Statistics,70,70,1,0,NA
711175,"Molina Mata, Savannah",Female,21,172,73.8,Catholic,1.47,3rd,Biology,Social Sciences,81,81,1,0,NA
781024,"Israel, Henry",Male,22,192,90.5,Catholic,1.73,5th,Economics and Finance,Mathematics and Statistics,68,64,0,0,NA
549947,"Brandhorst, Kenzie",Female,30,159,65.2,Other,1.81,4th,Biology,Social Sciences,78,77,1,0,NA
636891,"Easterling, Willem",Male,24,179,74.9,Protestant,2.51,3rd,Mathematics and Statistics,Biology,95,92,1,0,NA
166844,"Tran, Aries",Male,23,176,75.8,Other,3.11,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
389479,"Dolson, Erick",Male,24,167,64.8,Orthodox,3.65,3rd,Economics and Finance,Mathematics and Statistics,61,65,0,0,NA
942741,"Onexayvieng, Kyndryk",Male,22,173,71.6,Catholic,1.41,1st,Mathematics and Statistics,Biology,NA,NA,0,0,NA
820999,"Hoang, Julio",Male,20,180,78.8,Catholic,2.08,3rd,Economics and Finance,Environmental Sciences,74,68,0,0,NA
510119,"Mack, Kaitlyn",Female,28,169,67.8,Other,2,3rd,Environmental Sciences,Economics and Finance,69,78,1,0,NA
261234,"Charles, Cynthia",Female,22,169,69.5,Catholic,2.6,1st,Economics and Finance,Biology,NA,NA,0,0,NA
825662,"Oul, Donell",Male,20,182,83.6,Protestant,1.51,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
291003,"Nguyen, Donya",Male,22,178,76.8,Protestant,1.49,6th,Mathematics and Statistics,Economics and Finance,89,81,0,0,NA
882907,"Ho, Lesante",Male,21,175,75.6,Other,1.13,5th,Biology,Economics and Finance,79,82,1,1,47577.44261
824505,"Leon, Maria",Female,22,171,70.6,Catholic,3.32,4th,Economics and Finance,Environmental Sciences,61,73,1,0,NA
